"entrezID","genename"
"1","A1BG"
"2","A2M"
"9","NAT1"
"10","NAT2"
"12","SERPINA3"
"13","AADAC"
"14","AAMP"
"15","AANAT"
"16","AARS"
"18","ABAT"
"19","ABCA1"
"20","ABCA2"
"21","ABCA3"
"22","ABCB7"
"23","ABCF1"
"24","ABCA4"
"25","ABL1"
"26","ABP1"
"27","ABL2"
"28","ABO"
"29","ABR"
"30","ACAA1"
"31","ACACA"
"32","ACACB"
"33","ACADL"
"34","ACADM"
"35","ACADS"
"36","ACADSB"
"37","ACADVL"
"38","ACAT1"
"39","ACAT2"
"40","ACCN1"
"41","ACCN2"
"43","ACHE"
"47","ACLY"
"48","ACO1"
"49","ACR"
"50","ACO2"
"51","ACOX1"
"52","ACP1"
"53","ACP2"
"54","ACP5"
"55","ACPP"
"56","ACRV1"
"58","ACTA1"
"59","ACTA2"
"60","ACTB"
"70","ACTC1"
"71","ACTG1"
"72","ACTG2"
"81","ACTN4"
"84","ACTL4"
"85","ACTL5"
"86","ACTL6A"
"87","ACTN1"
"88","ACTN2"
"89","ACTN3"
"90","ACVR1"
"91","ACVR1B"
"92","ACVR2A"
"93","ACVR2B"
"94","ACVRL1"
"95","ACY1"
"97","ACYP1"
"98","ACYP2"
"100","ADA"
"101","ADAM8"
"102","ADAM10"
"103","ADAR"
"104","ADARB1"
"105","ADARB2"
"107","ADCY1"
"108","ADCY2"
"109","ADCY3"
"111","ADCY5"
"112","ADCY6"
"113","ADCY7"
"114","ADCY8"
"115","ADCY9"
"116","ADCYAP1"
"117","ADCYAP1R1"
"118","ADD1"
"119","ADD2"
"120","ADD3"
"123","ADFP"
"124","ADH1A"
"125","ADH1B"
"126","ADH1C"
"127","ADH4"
"128","ADH5"
"130","ADH6"
"131","ADH7"
"132","ADK"
"133","ADM"
"134","ADORA1"
"135","ADORA2A"
"136","ADORA2B"
"140","ADORA3"
"141","ADPRH"
"142","PARP1"
"143","PARP4"
"146","ADRA1D"
"147","ADRA1B"
"148","ADRA1A"
"150","ADRA2A"
"151","ADRA2B"
"152","ADRA2C"
"153","ADRB1"
"154","ADRB2"
"155","ADRB3"
"156","ADRBK1"
"157","ADRBK2"
"158","ADSL"
"159","ADSS"
"160","AP2A1"
"161","AP2A2"
"162","AP1B1"
"163","AP2B1"
"164","AP1G1"
"165","AEBP1"
"166","AES"
"167","CRISP1"
"173","AFM"
"174","AFP"
"175","AGA"
"176","ACAN"
